date,store_id,category_id,sales_qty,sales_revenue
2018-01-01,1,1,42,317.7
2018-01-02,1,1,50,467.3
2018-01-03,1,1,44,132.19
2018-01-04,1,1,57,249.61
2018-01-05,1,1,52,422.56
2018-01-06,1,1,52,268.66
2018-01-07,1,1,51,452.22
2018-01-08,1,1,41,163.74
2018-01-09,1,1,46,123.02
2018-01-10,1,1,42,281.56
2018-01-11,1,1,46,157.88
2018-01-12,1,1,43,265.05
2018-01-13,1,1,55,317.58
2018-01-14,1,1,57,224.23
2018-01-15,1,1,32,186.94
2018-01-16,1,1,42,212.57
2018-01-17,1,1,45,211.41
2018-01-18,1,1,45,292.88
2018-01-19,1,1,41,203.8
2018-01-20,1,1,42,298.28
2018-01-21,1,1,48,361.69
2018-01-22,1,1,33,177.9
2018-01-23,1,1,40,219.41
2018-01-24,1,1,49,340.09
2018-01-25,1,1,32,80.32
2018-01-26,1,1,46,144.71
2018-01-27,1,1,53,390.78
2018-01-28,1,1,61,560.48
2018-01-29,1,1,41,191.14
2018-01-30,1,1,44,292.52
2018-01-31,1,1,48,164.05
2018-02-01,1,1,43,200.43
2018-02-02,1,1,51,300.94
2018-02-03,1,1,51,176.36
2018-02-04,1,1,45,207.13
2018-02-05,1,1,39,142.68
2018-02-06,1,1,38,301.12
2018-02-07,1,1,34,274.54
2018-02-08,1,1,32,254.32
2018-02-09,1,1,51,444.26
2018-02-10,1,1,59,535.35
2018-02-11,1,1,57,158.72
2018-02-12,1,1,43,250.71
2018-02-13,1,1,48,387.71
2018-02-14,1,1,42,298.67
2018-02-15,1,1,47,140.28
2018-02-16,1,1,50,274.7
2018-02-17,1,1,52,348.35
2018-02-18,1,1,59,461.59
2018-02-19,1,1,49,124.95
2018-02-20,1,1,41,118.43
2018-02-21,1,1,35,220.15
2018-02-22,1,1,52,472.82
2018-02-23,1,1,49,166.45
2018-02-24,1,1,61,209.07
2018-02-25,1,1,50,203.43
2018-02-26,1,1,42,334.98
2018-02-27,1,1,49,416.44
2018-02-28,1,1,48,387.78
2018-03-01,1,1,46,428.99
2018-03-02,1,1,45,388.66
2018-03-03,1,1,56,496.4
2018-03-04,1,1,58,437.01
2018-03-05,1,1,43,361.95
2018-03-06,1,1,52,424.05
2018-03-07,1,1,45,285.66
2018-03-08,1,1,55,154.74
2018-03-09,1,1,48,122.76
2018-03-10,1,1,58,205.69
2018-03-11,1,1,61,162.4
2018-03-12,1,1,62,340.34
2018-03-13,1,1,53,182.43
2018-03-14,1,1,57,517.82
2018-03-15,1,1,43,406.26
2018-03-16,1,1,61,522.37
2018-03-17,1,1,62,419.57
2018-03-18,1,1,58,193.98
2018-03-19,1,1,49,434.87
2018-03-20,1,1,53,287.61
2018-03-21,1,1,51,192.26
2018-03-22,1,1,70,330.35
2018-03-23,1,1,64,490.22
2018-03-24,1,1,64,318.82
2018-03-25,1,1,64,329.51
2018-03-26,1,1,49,277.22
2018-03-27,1,1,53,235.01
2018-03-28,1,1,62,321.01
2018-03-29,1,1,58,408.95
2018-03-30,1,1,66,193.49
2018-03-31,1,1,74,570.82
2018-04-01,1,1,143,645.37
2018-04-02,1,1,62,446.81
2018-04-03,1,1,65,229.35
2018-04-04,1,1,68,633.37
2018-04-05,1,1,60,399.33
2018-04-06,1,1,64,177.75
2018-04-07,1,1,83,316.75
2018-04-08,1,1,79,367.63
2018-04-09,1,1,65,204.32
2018-04-10,1,1,53,464.77
2018-04-11,1,1,48,155.18
2018-04-12,1,1,53,386.6
2018-04-13,1,1,66,276.81
2018-04-14,1,1,85,679.83
2018-04-15,1,1,79,518.63
2018-04-16,1,1,63,285.11
2018-04-17,1,1,80,344.81
2018-04-18,1,1,67,564.7
2018-04-19,1,1,72,601.08
2018-04-20,1,1,65,207.7
2018-04-21,1,1,69,536.71
2018-04-22,1,1,89,560.56
