txn_id,txn_date,store_id,product_id,qty,unit_price,line_amount
1,2024-01-01 00:00:00,1,2,4.0,13.569222369248562,54.27688947699425
2,2024-01-01 00:00:00,1,7,4.0,25.76849168534097,103.07396674136388
3,2024-01-01 00:00:00,1,15,3.0,45.64737929978154,136.94213789934463
4,2024-01-01 00:00:00,1,4,2.0,33.80106964899113,67.60213929798226
5,2024-01-01 00:00:00,1,2,2.0,26.96326501653492,53.92653003306984
6,2024-01-01 00:00:00,1,10,4.0,10.873013865225298,43.49205546090119
7,2024-01-01 00:00:00,1,18,2.0,,47.176396803497504
8,2024-01-01 00:00:00,1,10,2.0,46.47962555810212,92.95925111620424
9,2024-01-01 00:00:00,1,16,3.0,6.247640098492136,18.74292029547641
10,2024-01-01 00:00:00,1,8,1.0,20.656509905095135,20.656509905095135
11,2024-01-01 00:00:00,1,18,3.0,41.77940043929261,125.33820131787783
12,2024-01-01 00:00:00,1,13,1000.0,16.221128273795955,16.221128273795955
13,2024-01-01 00:00:00,1,13,1.0,2.7505475235773087,2.7505475235773087
14,2024-01-01 00:00:00,2,1,4.0,16.087432386465828,64.34972954586331
15,2024-01-01 00:00:00,2,11,3.0,35.92915250468562,107.78745751405685
16,2024-01-01 00:00:00,2,3,3.0,39.0209766409254,117.06292992277619
17,2024-01-01 00:00:00,2,5,2.0,19.206354970125084,38.41270994025017
18,2024-01-01 00:00:00,2,9,4.0,43.42896444202849,173.71585776811395
19,2024-01-01 00:00:00,2,8,4.0,17.88310519292716,71.53242077170864
20,2024-01-01 00:00:00,2,16,3.0,16.927151442351786,50.78145432705536
21,2024-01-01 00:00:00,2,5,3.0,30.382293809970903,91.14688142991271
22,2024-01-01 00:00:00,2,3,1.0,20.380489988181914,20.380489988181914
23,2024-01-01 00:00:00,2,15,2.0,42.747863564772025,85.49572712954405
24,2024-01-01 00:00:00,2,5,2.0,13.327276147949876,26.65455229589975
25,2024-01-01 00:00:00,2,14,3.0,3.9408122978447047,11.822436893534114
26,2024-01-01 00:00:00,2,15,3.0,7.322759398967904,21.96827819690371
27,2024-01-01 00:00:00,3,7,1.0,17.08908709166368,17.08908709166368
28,2024-01-01 00:00:00,3,4,2.0,8.687909811482033,17.375819622964066
29,2024-01-01 00:00:00,3,7,1.0,27.91237238248031,27.91237238248031
30,2024-01-01 00:00:00,3,4,1.0,5.695035671782064,5.695035671782064
31,2024-01-01 00:00:00,3,19,2.0,44.26245627273237,88.52491254546474
32,2024-01-01 00:00:00,3,10,1.0,16.19041692021027,16.19041692021027
33,2024-01-01 00:00:00,3,6,4.0,40.576259691157496,162.30503876462998
34,2024-01-01 00:00:00,4,11,4.0,40.757127447875,163.0285097915
35,2024-01-01 00:00:00,4,7,2.0,7.282492377328484,14.564984754656969
36,2024-01-01 00:00:00,4,20,1.0,43.315067996304485,43.315067996304485
37,2024-01-01 00:00:00,4,7,2.0,26.515870523723155,53.03174104744631
38,2024-01-01 00:00:00,4,9,2.0,12.661174902595052,25.322349805190104
39,2024-01-01 00:00:00,4,19,2.0,18.205528227374142,36.411056454748284
40,2024-01-01 00:00:00,4,15,3.0,17.51374073699625,52.54122221098875
41,2024-01-01 00:00:00,4,9,4.0,19.45422091420611,77.81688365682444
42,2024-01-01 00:00:00,5,20,4.0,14.08555019961748,56.34220079846992
43,2024-01-01 00:00:00,5,2,3.0,16.442158871204946,49.32647661361484
44,2024-01-01 00:00:00,5,17,4.0,3.770573473017574,15.082293892070297
45,2024-01-01 00:00:00,5,9999,2.0,26.12859311498535,52.2571862299707
46,2024-01-01 00:00:00,5,5,4.0,45.596762526399374,182.3870501055975
47,2024-01-02 00:00:00,1,2,1.0,25.493732493323023,25.493732493323023
48,2024-01-02 00:00:00,1,6,4.0,30.44944274621089,121.79777098484357
49,2024-01-02 00:00:00,1,11,4.0,13.406602111635184,53.62640844654074
50,2024-01-02 00:00:00,1,6,4.0,24.574430453409846,98.29772181363938
51,2024-01-02 00:00:00,1,2,2.0,21.143573237338547,42.287146474677094
52,2024-01-02 00:00:00,1,16,4.0,42.09451978828342,168.37807915313368
53,2024-01-02 00:00:00,1,6,4.0,3.957206794628668,15.828827178514672
54,2024-01-02 00:00:00,2,4,3.0,36.13517755702485,108.40553267107455
